track_name,artist_name,album_name,popularity,duration_ms,release_date,playlist_name,duration_minutes,release_year,popularity_category
See You Again,Wiz Khalifa,Furious 7,93,229000,2015-03-10,Bollywood & Global Mix,3.816666666666667,2015,High
Counting Stars,OneRepublic,Native,90,257000,2013-06-14,Bollywood & Global Mix,4.283333333333333,2013,High
Apologize,OneRepublic,Dreaming Out Loud,85,208000,2007-11-20,Bollywood & Global Mix,3.466666666666667,2007,High
Secrets,OneRepublic,Waking Up,86,224000,2009-11-17,Bollywood & Global Mix,3.7333333333333334,2009,High
Viva La Vida,Coldplay,Viva La Vida,91,242000,2008-05-25,Bollywood & Global Mix,4.033333333333333,2008,High
Paradise,Coldplay,Mylo Xyloto,90,278000,2011-10-24,Bollywood & Global Mix,4.633333333333334,2011,High
Yellow,Coldplay,Parachutes,88,269000,2000-07-10,Bollywood & Global Mix,4.483333333333333,2000,High
Hymn For The Weekend,Coldplay,A Head Full of Dreams,89,258000,2016-01-25,Bollywood & Global Mix,4.3,2016,High
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,87,263000,2015-11-06,Bollywood & Global Mix,4.383333333333334,2015,High
Let Her Go,Passenger,All the Little Lights,90,252000,2012-02-24,Bollywood & Global Mix,4.2,2012,High
Riptide,Vance Joy,Dream Your Life Away,88,204000,2013-03-22,Bollywood & Global Mix,3.4,2013,High
Ho Hey,The Lumineers,The Lumineers,85,163000,2012-04-03,Bollywood & Global Mix,2.716666666666667,2012,High
Take Me To Church,Hozier,Hozier,92,241000,2013-09-13,Bollywood & Global Mix,4.016666666666667,2013,High
Someone You Loved,Lewis Capaldi,Divinely Uninspired,94,182000,2018-11-08,Bollywood & Global Mix,3.033333333333333,2018,High
